country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","26-02-2026 10:00:00",22.320153,73.216285,NO2,2,57,21
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","26-02-2026 10:00:00",22.410802,73.097923,PM2.5,83,343,206
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","26-02-2026 10:00:00",22.410802,73.097923,SO2,3,57,7
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","26-02-2026 10:00:00",28.360699,76.936090,NH3,10,12,11
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","26-02-2026 10:00:00",28.360699,76.936090,OZONE,5,23,7
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","26-02-2026 10:00:00",28.060249,76.113115,PM2.5,34,310,111
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","26-02-2026 10:00:00",28.060249,76.113115,SO2,4,6,5
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","26-02-2026 10:00:00",28.1485564,77.3320667,PM2.5,49,78,61
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","26-02-2026 10:00:00",28.1485564,77.3320667,PM10,54,91,68
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","26-02-2026 10:00:00",28.1485564,77.3320667,NO2,23,25,24
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","26-02-2026 10:00:00",28.3153,76.9143,OZONE,1,95,4
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","26-02-2026 10:00:00",30.7057778,76.8531805555555,SO2,NA,NA,NA
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","26-02-2026 10:00:00",30.7057778,76.8531805555555,CO,4,12,7
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","26-02-2026 10:00:00",12.9756843,77.5660749,PM10,105,106,106
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","26-02-2026 10:00:00",12.9756843,77.5660749,NO2,34,39,37
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","26-02-2026 10:00:00",12.9756843,77.5660749,CO,54,67,61
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","26-02-2026 10:00:00",13.029152,77.585901,PM2.5,54,95,68
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","26-02-2026 10:00:00",12.938539,77.590100,NH3,4,7,5
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","26-02-2026 10:00:00",12.938539,77.590100,CO,10,43,17
